Date,Leader's Price,Follower's Price,Cost
1,1.722,3.514,1
2,1.779,3.365,1
3,1.787,3.733,1
4,1.773,3.583,1
5,1.746,3.617,1
6,1.786,3.349,1
7,1.761,3.218,1
8,1.890,3.695,1
9,1.719,3.312,1
10,1.868,3.596,1
11,1.740,3.406,1
12,1.765,3.201,1
13,1.774,3.748,1
14,1.827,3.776,1
15,1.900,3.509,1
16,1.858,3.484,1
17,1.774,3.305,1
18,1.728,3.676,1
19,1.878,3.841,1
20,1.744,3.338,1
21,1.780,3.382,1
22,1.823,3.554,1
23,1.782,3.691,1
24,1.787,3.747,1
25,1.779,3.446,1
26,1.806,3.357,1
27,1.730,3.436,1
28,1.757,3.596,1
29,1.719,3.307,1
30,1.838,3.757,1
31,1.783,3.552,1
32,1.873,3.644,1
33,1.778,3.649,1
34,1.777,3.540,1
35,1.772,3.570,1
36,1.775,3.318,1
37,1.726,3.476,1
38,1.784,3.383,1
39,1.776,3.499,1
40,1.777,3.597,1
41,1.778,3.365,1
42,1.726,3.295,1
43,1.839,3.433,1
44,1.887,3.449,1
45,1.868,3.713,1
46,1.898,3.428,1
47,1.758,3.596,1
48,1.813,3.699,1
49,1.715,3.334,1
50,1.773,3.235,1
51,1.873,3.666,1
52,1.777,3.486,1
53,1.776,3.484,1
54,1.719,3.638,1
55,1.879,3.847,1
56,1.744,3.440,1
57,1.782,3.506,1
58,1.724,3.187,1
59,1.778,3.133,1
60,1.891,3.718,1
61,1.786,3.486,1
62,1.775,3.404,1
63,1.775,3.640,1
64,1.773,3.337,1
65,1.790,3.468,1
66,1.769,3.489,1
67,1.783,3.700,1
68,1.784,3.633,1
69,1.862,3.650,1
70,1.780,3.504,1
71,1.786,3.215,1
72,1.774,3.436,1
73,1.731,3.509,1
74,1.900,3.786,1
75,1.785,3.374,1
76,1.776,3.534,1
77,1.774,2.897,1
78,1.772,3.445,1
79,1.758,3.493,1
80,1.787,3.739,1
81,1.781,3.424,1
82,1.782,3.753,1
83,1.812,3.779,1
84,1.785,3.736,1
85,1.763,3.548,1
86,1.778,3.409,1
87,1.875,3.467,1
88,1.729,3.614,1
89,1.786,3.759,1
90,1.774,3.336,1
91,1.886,3.790,1
92,1.821,3.302,1
93,1.780,3.510,1
94,1.850,3.596,1
95,1.781,3.434,1
96,1.835,3.756,1
97,1.777,3.168,1
98,1.783,3.682,1
99,1.785,3.528,1
100,1.781,3.469,1
