Date,Leader's Price,Follower's Price,Cost
1,1.776,1.497,1
2,1.783,1.536,1
3,1.763,1.552,1
4,1.821,1.609,1
5,1.761,1.601,1
6,1.850,1.657,1
7,1.730,1.646,1
8,1.765,1.684,1
9,1.758,1.705,1
10,1.786,1.737,1
11,1.862,1.788,1
12,1.785,1.789,1
13,1.781,1.809,1
14,1.886,1.870,1
15,1.879,1.893,1
16,1.782,1.878,1
17,1.812,1.913,1
18,1.774,1.920,1
19,1.776,1.943,1
20,1.772,1.963,1
21,1.774,1.985,1
22,1.782,2.008,1
23,1.783,2.028,1
24,1.786,2.053,1
25,1.776,2.068,1
26,1.719,2.060,1
27,1.787,2.115,1
28,1.722,2.099,1
29,1.715,2.119,1
30,1.898,2.227,1
31,1.775,2.186,1
32,1.769,2.196,1
33,1.772,2.214,1
34,1.786,2.240,1
35,1.777,2.254,1
36,1.744,51.833,1
37,1.775,2.291,1
38,1.773,2.303,1
39,1.890,2.387,1
40,1.744,2.324,1
41,1.728,2.336,1
42,1.782,2.384,1
43,1.878,2.439,1
44,1.779,2.412,1
45,1.891,2.492,1
46,1.858,2.477,1
47,1.775,2.449,1
48,1.758,2.450,1
49,1.726,2.441,1
50,1.787,2.503,1
51,1.900,2.592,1
52,1.873,2.594,1
53,1.790,2.563,1
54,1.778,2.565,1
55,1.757,2.568,1
56,1.781,2.589,1
57,1.774,2.598,1
58,1.777,2.624,1
59,1.806,2.652,1
60,1.719,2.605,1
61,1.780,2.661,1
62,1.777,2.667,1
63,1.784,2.696,1
64,1.875,2.759,1
65,1.785,2.709,1
66,1.773,2.707,1
67,1.868,2.805,1
68,1.785,2.763,1
69,1.729,2.710,1
70,1.778,2.757,1
71,1.838,2.833,1
72,1.779,2.796,1
73,1.719,2.775,1
74,1.784,2.830,1
75,1.780,2.819,1
76,1.777,2.856,1
77,1.839,2.898,1
78,1.726,2.823,1
79,1.724,2.849,1
80,1.778,2.870,1
81,1.746,2.883,1
82,1.774,2.882,1
83,1.740,2.895,1
84,1.813,2.954,1
85,1.900,3.027,1
86,1.783,2.962,1
87,1.823,2.999,1
88,1.887,3.042,1
89,1.731,2.957,1
90,1.778,3.008,1
91,1.868,3.083,1
92,1.787,3.037,1
93,1.786,3.033,1
94,1.781,3.047,1
95,1.835,3.101,1
96,1.827,3.103,1
97,1.873,3.146,1
98,1.773,3.078,1
99,1.774,3.086,1
100,1.780,3.098,1
